,date,close
4073,2001-08-22,18000
4074,2001-08-21,19200
4075,2001-08-20,19400
4076,2001-08-17,20000
4077,2001-08-16,19500
4078,2001-08-14,19500
4079,2001-08-13,18900
4080,2001-08-10,18500
4081,2001-08-09,18000
4082,2001-08-08,19000
4083,2001-08-07,19000
4084,2001-08-06,20300
4085,2001-08-03,19750
4086,2001-08-02,19500
4087,2001-08-01,19000
4088,2001-07-31,18800
4089,2001-07-30,18150
4090,2001-07-27,18150
4091,2001-07-26,17400
4092,2001-07-25,17400
4093,2001-07-24,16950
4094,2001-07-23,16950
4095,2001-07-20,17000
4096,2001-07-19,17000
4097,2001-07-18,16500
4098,2001-07-16,17300
4099,2001-07-13,17300
4100,2001-07-12,17300
4101,2001-07-11,16500
4102,2001-07-10,16500
4103,2001-07-09,16100
4104,2001-07-06,16500
4105,2001-07-05,16450
4106,2001-07-04,16200
4107,2001-07-03,16000
4108,2001-07-02,16000
4109,2001-06-29,15550
4110,2001-06-28,15450
4111,2001-06-27,15400
4112,2001-06-26,15600
4113,2001-06-25,16100
4114,2001-06-22,16000
4115,2001-06-21,16000
4116,2001-06-20,16200
4117,2001-06-19,17200
4118,2001-06-18,17550
4119,2001-06-15,18400
4120,2001-06-14,18350
4121,2001-06-13,17000
4122,2001-06-12,16900
4123,2001-06-11,16750
4124,2001-06-08,17000
4125,2001-06-07,17000
4126,2001-06-05,16550
4127,2001-06-04,16900
4128,2001-06-01,16600
4129,2001-05-31,16600
4130,2001-05-30,16600
4131,2001-05-29,17000
4132,2001-05-28,17450
4133,2001-05-25,18000
4134,2001-05-24,18450
4135,2001-05-23,17900
4136,2001-05-22,17850
4137,2001-05-21,17750
4138,2001-05-18,18650
4139,2001-05-17,18750
4140,2001-05-16,18400
4141,2001-05-15,17700
4142,2001-05-14,18300
4143,2001-05-11,18200
4144,2001-05-10,18000
4145,2001-05-09,17800
4146,2001-05-08,18000
4147,2001-05-07,18200
4148,2001-05-04,18500
4149,2001-05-03,19000
4150,2001-05-02,17000
4151,2001-04-30,16600
4152,2001-04-27,16500
4153,2001-04-26,16000
4154,2001-04-25,15750
4155,2001-04-24,15500
4156,2001-04-23,16000
4157,2001-04-20,16400
4158,2001-04-19,16100
4159,2001-04-18,16500
4160,2001-04-17,15950
4161,2001-04-16,15750
4162,2001-04-13,15800
4163,2001-04-12,16050
4164,2001-04-11,15750
4165,2001-04-10,15500
4166,2001-04-09,15000
4167,2001-04-06,14700
4168,2001-04-04,14200
4169,2001-04-03,16100
4170,2001-04-02,16700
4171,2001-03-30,15000
4172,2001-03-29,15250
4173,2001-03-28,15300
4174,2001-03-27,14950
4175,2001-03-26,15250
4176,2001-03-23,14850
4177,2001-03-22,14100
4178,2001-03-21,13950
4179,2001-03-20,13400
4180,2001-03-19,13600
4181,2001-03-16,13100
4182,2001-03-15,13100
4183,2001-03-14,13500
4184,2001-03-13,12400
4185,2001-03-12,13900
4186,2001-03-09,15750
4187,2001-03-08,15500
4188,2001-03-07,16000
4189,2001-03-06,14300
4190,2001-03-05,12900
4191,2001-03-02,12500
4192,2001-02-28,12600
4193,2001-02-27,13200
4194,2001-02-26,13800
4195,2001-02-23,13100
4196,2001-02-22,13300
4197,2001-02-21,14900
4198,2001-02-20,14700
4199,2001-02-19,15600
4200,2001-02-16,14700
4201,2001-02-15,15350
4202,2001-02-14,17200
4203,2001-02-13,19450
4204,2001-02-12,18600
4205,2001-02-09,17550
4206,2001-02-08,15700
4207,2001-02-07,14050
4208,2001-02-06,12550
4209,2001-02-05,11550
4210,2001-02-02,12000
4211,2001-02-01,11150
4212,2001-01-31,11200
4213,2001-01-30,11550
4214,2001-01-29,11300
4215,2001-01-26,10600
4216,2001-01-22,10800
4217,2001-01-19,10700
4218,2001-01-18,11500
4219,2001-01-17,11500
4220,2001-01-16,11400
4221,2001-01-15,11200
4222,2001-01-12,10000
4223,2001-01-11,9900
4224,2001-01-10,9500
4225,2001-01-09,10700
4226,2001-01-08,10000
4227,2001-01-05,10000
4228,2001-01-04,10400
4229,2001-01-03,9330
4230,2001-01-02,8570
4231,2000-12-26,7660
4232,2000-12-22,8150
4233,2000-12-21,9250
4234,2000-12-20,10500
4235,2000-12-19,11700
4236,2000-12-18,12700
4237,2000-12-15,12850
4238,2000-12-14,13650
4239,2000-12-13,13350
4240,2000-12-12,14500
4241,2000-12-11,12950
4242,2000-12-08,12750
4243,2000-12-07,12600
4244,2000-12-06,12800
4245,2000-12-05,13000
4246,2000-12-04,12700
4247,2000-12-01,12950
4248,2000-11-30,12800
4249,2000-11-29,12500
4250,2000-11-28,13400
4251,2000-11-27,13300
4252,2000-11-24,13200
4253,2000-11-23,13450
4254,2000-11-22,15250
4255,2000-11-21,13650
4256,2000-11-20,15200
4257,2000-11-17,14350
4258,2000-11-16,13950
4259,2000-11-15,13400
4260,2000-11-14,13500
4261,2000-11-13,12950
4262,2000-11-10,13550
4263,2000-11-09,15350
4264,2000-11-08,13750
4265,2000-11-07,12300
4266,2000-11-06,12450
4267,2000-11-03,12150
4268,2000-11-02,12050
4269,2000-11-01,11850
4270,2000-10-31,11500
4271,2000-10-30,11600
4272,2000-10-27,12850
4273,2000-10-26,14600
4274,2000-10-25,14000
4275,2000-10-24,15650
4276,2000-10-23,14000
4277,2000-10-20,12500
4278,2000-10-19,11700
4279,2000-10-18,11850
4280,2000-10-17,12000
4281,2000-10-16,12800
4282,2000-10-13,11750
4283,2000-10-12,12750
4284,2000-10-11,12800
4285,2000-10-10,12650
4286,2000-10-09,13000
4287,2000-10-06,13200
4288,2000-10-05,13200
4289,2000-10-04,13600
4290,2000-10-02,13100
4291,2000-09-29,12550
4292,2000-09-28,12450
4293,2000-09-27,12750
4294,2000-09-26,11400
4295,2000-09-25,11300
4296,2000-09-22,11000
4297,2000-09-21,12150
4298,2000-09-20,11800
4299,2000-09-19,10550
4300,2000-09-18,11450
4301,2000-09-15,13000
4302,2000-09-14,12750
4303,2000-09-08,13650
4304,2000-09-07,15500
4305,2000-09-06,16900
4306,2000-09-05,17600
4307,2000-09-04,16750
4308,2000-09-01,16800
4309,2000-08-31,17300
4310,2000-08-30,18200
4311,2000-08-29,19100
4312,2000-08-28,18600
4313,2000-08-25,19100
4314,2000-08-24,21100
4315,2000-08-23,23400
4316,2000-08-22,20900
4317,2000-08-21,22250
4318,2000-08-18,19900
4319,2000-08-17,18700
4320,2000-08-16,18500
4321,2000-08-14,20000
4322,2000-08-11,17900
4323,2000-08-10,17600
4324,2000-08-09,17450
4325,2000-08-08,18700
4326,2000-08-07,16700
4327,2000-08-04,16400
4328,2000-08-03,18000
4329,2000-08-02,18000
4330,2000-08-01,19150
4331,2000-07-31,17100
4332,2000-07-28,15300
4333,2000-07-27,16000
4334,2000-07-26,14950
4335,2000-07-25,15550
4336,2000-07-24,17650
4337,2000-07-21,16200
4338,2000-07-20,15800
4339,2000-07-19,16500
4340,2000-07-18,14800
4341,2000-07-14,14550
4342,2000-07-13,13000
4343,2000-07-12,13450
4344,2000-07-11,12050
4345,2000-07-10,12700
4346,2000-07-07,12500
4347,2000-07-06,12500
4348,2000-07-05,12500
4349,2000-07-04,13500
4350,2000-07-03,13050
4351,2000-06-30,13400
4352,2000-06-29,12950
4353,2000-06-28,13200
4354,2000-06-27,13550
4355,2000-06-26,13400
4356,2000-06-23,13300
4357,2000-06-22,13100
4358,2000-06-21,13400
4359,2000-06-20,13800
4360,2000-06-19,13900
4361,2000-06-16,13750
4362,2000-06-15,15600
4363,2000-06-14,13950
4364,2000-06-13,14350
4365,2000-06-12,14000
4366,2000-06-09,12500
4367,2000-06-08,12800
4368,2000-06-07,14150
4369,2000-06-05,14350
4370,2000-06-02,12850
4371,2000-06-01,11500
4372,2000-05-31,11850
4373,2000-05-30,10600
4374,2000-05-29,9500
4375,2000-05-26,10500
4376,2000-05-25,11900
4377,2000-05-24,10850
4378,2000-05-23,12300
4379,2000-05-19,15800
4380,2000-05-18,17800
4381,2000-05-15,18800
4382,2000-05-12,19200
4383,2000-05-10,18150
4384,2000-05-09,16800
4385,2000-05-08,17350
4386,2000-05-04,17000
4387,2000-05-03,17100
4388,2000-05-02,15300
4389,2000-05-01,16300
4390,2000-04-28,16300
